Day Index,Pageviews,Avg. Time on Page,Bounce Rate,Unique Pageviews
6/30/16,"8,385",0:04:23,82.58%,"7,341"
7/1/16,"7,194",0:04:19,83.04%,"6,277"
7/2/16,"4,968",0:04:16,82.08%,"4,288"
7/3/16,"5,725",0:04:04,82.67%,"5,022"
7/4/16,"7,842",0:04:30,84.39%,"6,901"
7/5/16,"8,990",0:04:30,83.43%,"7,842"
7/6/16,"9,002",0:04:06,84.17%,"8,003"
7/7/16,"9,427",0:04:03,84.07%,"8,325"
7/8/16,"8,244",0:04:01,83.54%,"7,268"
7/9/16,"5,173",0:04:19,81.90%,"4,491"
7/10/16,"6,163",0:04:18,82.38%,"5,369"
7/11/16,"9,582",0:04:11,83.98%,"8,476"
7/12/16,"9,454",0:04:06,84.15%,"8,316"
7/13/16,"9,121",0:04:41,83.68%,"8,015"
7/14/16,"9,111",0:04:25,83.21%,"7,890"
7/15/16,"7,451",0:04:12,83.32%,"6,576"
7/16/16,"5,212",0:04:19,81.84%,"4,511"
7/17/16,"6,453",0:04:18,82.67%,"5,628"
7/18/16,"9,396",0:04:03,83.59%,"8,210"
7/19/16,"9,495",0:04:20,83.29%,"8,253"
7/20/16,"9,241",0:04:16,82.30%,"7,999"
7/21/16,"9,073",0:04:26,82.88%,"7,966"
7/22/16,"7,973",0:04:17,82.38%,"6,940"
7/23/16,"5,419",0:03:48,81.13%,"4,614"
7/24/16,"5,981",0:04:02,82.11%,"5,195"
7/25/16,"9,292",0:04:23,83.46%,"8,166"
7/26/16,"9,683",0:03:56,83.62%,"8,430"
7/27/16,"9,489",0:04:11,83.40%,"8,272"
7/28/16,"9,239",0:04:08,82.62%,"8,033"
7/29/16,"7,571",0:04:19,83.20%,"6,601"
7/30/16,"5,385",0:04:12,81.66%,"4,671"
7/31/16,"6,056",0:04:15,82.16%,"5,172"
8/1/16,"9,574",0:04:07,83.14%,"8,268"
8/2/16,"9,338",0:04:04,83.48%,"8,192"
8/3/16,"9,392",0:04:11,83.38%,"8,205"
8/4/16,"9,464",0:04:02,84.25%,"8,294"
8/5/16,"7,653",0:04:31,83.38%,"6,718"
8/6/16,"5,248",0:04:15,81.95%,"4,517"
8/7/16,"6,046",0:03:56,81.89%,"5,201"
8/8/16,"10,050",0:04:21,84.70%,"8,795"
8/9/16,"9,307",0:04:28,83.95%,"8,130"
8/10/16,"8,856",0:04:26,84.42%,"7,829"
8/11/16,"8,796",0:04:31,83.49%,"7,717"
8/12/16,"7,460",0:04:38,84.21%,"6,555"
8/13/16,"5,273",0:03:41,83.16%,"4,590"
8/14/16,"5,516",0:04:17,81.86%,"4,772"
8/15/16,"8,456",0:04:13,83.41%,"7,383"
8/16/16,"8,827",0:04:13,84.37%,"7,805"
8/17/16,"9,119",0:04:19,83.53%,"7,899"
8/18/16,"8,798",0:04:13,83.17%,"7,683"
8/19/16,"7,548",0:04:14,83.52%,"6,632"
8/20/16,"5,336",0:04:16,82.84%,"4,623"
8/21/16,"6,669",0:04:07,82.19%,"5,793"
8/22/16,"9,338",0:04:20,83.24%,"8,195"
8/23/16,"9,311",0:04:06,83.45%,"8,111"
8/24/16,"12,271",0:04:21,85.34%,"10,857"
8/25/16,"9,538",0:04:30,84.31%,"8,357"
8/26/16,"8,211",0:04:37,83.47%,"7,207"
8/27/16,"5,720",0:03:56,81.89%,"4,916"
8/28/16,"6,216",0:04:09,83.31%,"5,484"
8/29/16,"10,307",0:04:06,82.24%,"8,903"
8/30/16,"9,708",0:04:07,83.87%,"8,541"
8/31/16,"10,021",0:04:02,83.03%,"8,797"
9/1/16,"9,659",0:04:07,83.49%,"8,441"
9/2/16,"7,961",0:03:55,83.23%,"6,985"
9/3/16,"5,400",0:04:07,81.32%,"4,663"
9/4/16,"6,295",0:04:00,81.42%,"5,438"
9/5/16,"8,431",0:04:14,82.07%,"7,350"
9/6/16,"10,011",0:04:06,82.92%,"8,827"
9/7/16,"9,766",0:04:12,82.82%,"8,540"
9/8/16,"9,174",0:04:13,84.46%,"8,131"
9/9/16,"8,112",0:04:02,83.25%,"7,149"
